,,,,,,,,,
Tag,,First weight date,,,,First Weight,,,Latest Weight Date
UK702881203040,,08/10/2025,,,,696.00,,,08/10/2025
UK702881203075,,08/10/2025,,,,642.00,,,08/10/2025
UK702881203096,,08/10/2025,,,,618.00,,,08/10/2025
UK702881203243,,08/10/2025,,,,624.00,,,08/10/2025
UK702881203264,,08/10/2025,,,,624.00,,,08/10/2025
UK702881203278,,08/10/2025,,,,590.00,,,08/10/2025
UK702881203285,,08/10/2025,,,,578.00,,,08/10/2025
UK702881203320,,08/10/2025,,,,606.00,,,08/10/2025
UK702881203334,,08/10/2025,,,,598.00,,,08/10/2025
UK702881203383,,08/10/2025,,,,588.00,,,08/10/2025
UK702881203474,,08/10/2025,,,,524.00,,,08/10/2025
UK702881203502,,08/10/2025,,,,584.00,,,08/10/2025
UK702881203537,,08/10/2025,,,,576.00,,,08/10/2025
UK702881203726,,08/10/2025,,,,612.00,,,08/10/2025
UK702881203747,,08/10/2025,,,,610.00,,,08/10/2025
UK702881203754,,08/10/2025,,,,610.00,,,08/10/2025
UK702881203887,,08/10/2025,,,,678.00,,,08/10/2025
UK702881204181,,08/10/2025,,,,556.00,,,08/10/2025
UK702881204209,,08/10/2025,,,,606.00,,,08/10/2025
UK702881204223,,08/10/2025,,,,580.00,,,08/10/2025
UK702881204230,,08/10/2025,,,,592.00,,,08/10/2025
UK702881204237,,08/10/2025,,,,592.00,,,08/10/2025
UK702881204244,,08/10/2025,,,,548.00,,,08/10/2025
UK702881204321,,08/10/2025,,,,570.00,,,08/10/2025
UK702881204356,,08/10/2025,,,,560.00,,,08/10/2025
UK702881204384,,08/10/2025,,,,562.00,,,08/10/2025
UK702881204412,,08/10/2025,,,,602.00,,,08/10/2025
UK702881204419,,08/10/2025,,,,578.00,,,08/10/2025
UK702881204475,,08/10/2025,,,,514.00,,,08/10/2025
UK702881204489,,08/10/2025,,,,576.00,,,08/10/2025
UK702881204692,,08/10/2025,,,,560.00,,,08/10/2025
UK702881204741,,08/10/2025,,,,462.00,,,08/10/2025
UK702881204748,,08/10/2025,,,,618.00,,,08/10/2025
UK702881204755,,08/10/2025,,,,564.00,,,08/10/2025
UK702881204811,,08/10/2025,,,,602.00,,,08/10/2025
UK702881204818,,08/10/2025,,,,530.00,,,08/10/2025
UK702881204846,,08/10/2025,,,,536.00,,,08/10/2025
UK702881204888,,08/10/2025,,,,526.00,,,08/10/2025
UK702881204909,,08/10/2025,,,,466.00,,,08/10/2025
UK702881204916,,08/10/2025,,,,562.00,,,08/10/2025
UK702881204965,,08/10/2025,,,,568.00,,,08/10/2025
UK702881205049,,08/10/2025,,,,584.00,,,08/10/2025
UK702881205231,,08/10/2025,,,,474.00,,,08/10/2025
UK702881205238,,08/10/2025,,,,480.00,,,08/10/2025
UK702881205245,,08/10/2025,,,,510.00,,,08/10/2025
UK702881205294,,08/10/2025,,,,500.00,,,08/10/2025
UK702881205308,,08/10/2025,,,,442.00,,,08/10/2025
UK702881205364,,08/10/2025,,,,456.00,,,08/10/2025
UK702881205371,,08/10/2025,,,,530.00,,,08/10/2025
UK702881205469,,08/10/2025,,,,472.00,,,08/10/2025
UK702881205476,,08/10/2025,,,,470.00,,,08/10/2025
UK702881205490,,08/10/2025,,,,442.00,,,08/10/2025
UK702881205497,,08/10/2025,,,,426.00,,,08/10/2025
UK702881301970,,08/10/2025,,,,488.00,,,08/10/2025
UK702881302257,,08/10/2025,,,,644.00,,,08/10/2025
UK702881302516,,08/10/2025,,,,504.00,,,08/10/2025
UK702881302670,,08/10/2025,,,,616.00,,,08/10/2025
UK702881302810,,08/10/2025,,,,542.00,,,08/10/2025
UK702881302866,,08/10/2025,,,,640.00,,,08/10/2025
UK702881302873,,08/10/2025,,,,554.00,,,08/10/2025
UK702881302943,,08/10/2025,,,,560.00,,,08/10/2025
UK702881302992,,08/10/2025,,,,536.00,,,08/10/2025
UK702881303027,,08/10/2025,,,,640.00,,,08/10/2025
UK702881303097,,08/10/2025,,,,688.00,,,08/10/2025
UK702881303307,,08/10/2025,,,,558.00,,,08/10/2025
UK702881303321,,08/10/2025,,,,630.00,,,08/10/2025
UK702881303363,,08/10/2025,,,,492.00,,,08/10/2025
UK702881303370,,08/10/2025,,,,570.00,,,08/10/2025
UK702881303482,,08/10/2025,,,,560.00,,,08/10/2025
UK702881303706,,08/10/2025,,,,540.00,,,08/10/2025
UK702881303727,,08/10/2025,,,,628.00,,,08/10/2025
UK702881303895,,08/10/2025,,,,672.00,,,08/10/2025
UK702881303944,,08/10/2025,,,,720.00,,,08/10/2025
UK702881304182,,08/10/2025,,,,526.00,,,08/10/2025
UK702881304189,,08/10/2025,,,,526.00,,,08/10/2025
UK702881304210,,08/10/2025,,,,600.00,,,08/10/2025
UK702881304231,,08/10/2025,,,,606.00,,,08/10/2025
UK702881304245,,08/10/2025,,,,632.00,,,08/10/2025
UK702881304287,,08/10/2025,,,,724.00,,,08/10/2025
UK702881304315,,08/10/2025,,,,534.00,,,08/10/2025
UK702881304336,,08/10/2025,,,,606.00,,,08/10/2025
UK702881304357,,08/10/2025,,,,614.00,,,08/10/2025
UK702881304378,,08/10/2025,,,,640.00,,,08/10/2025
UK702881304413,,08/10/2025,,,,570.00,,,08/10/2025
UK702881304476,,08/10/2025,,,,562.00,,,08/10/2025
UK702881304693,,08/10/2025,,,,596.00,,,08/10/2025
UK702881304700,,08/10/2025,,,,566.00,,,08/10/2025
UK702881304812,,08/10/2025,,,,550.00,,,08/10/2025
UK702881304847,,08/10/2025,,,,512.00,,,08/10/2025
UK702881304882,,08/10/2025,,,,574.00,,,08/10/2025
UK702881304889,,08/10/2025,,,,504.00,,,08/10/2025
UK702881304917,,08/10/2025,,,,566.00,,,08/10/2025
UK702881304966,,08/10/2025,,,,540.00,,,08/10/2025
UK702881304987,,08/10/2025,,,,574.00,,,08/10/2025
UK702881305043,,08/10/2025,,,,530.00,,,08/10/2025
UK702881305232,,08/10/2025,,,,500.00,,,08/10/2025
UK702881305239,,08/10/2025,,,,448.00,,,08/10/2025
UK702881305253,,08/10/2025,,,,470.00,,,08/10/2025
UK702881305302,,08/10/2025,,,,472.00,,,08/10/2025
UK702881305316,,08/10/2025,,,,462.00,,,08/10/2025
UK702881305351,,08/10/2025,,,,450.00,,,08/10/2025
UK702881305358,,08/10/2025,,,,480.00,,,08/10/2025
UK702881305372,,08/10/2025,,,,450.00,,,08/10/2025
UK702881305463,,08/10/2025,,,,520.00,,,08/10/2025
UK702881305491,,08/10/2025,,,,402.00,,,08/10/2025
UK702881305498,,08/10/2025,,,,458.00,,,08/10/2025
UK702881305540,,08/10/2025,,,,470.00,,,08/10/2025
UK702881401439,,08/10/2025,,,,578.00,,,08/10/2025
UK702881401950,,08/10/2025,,,,436.00,,,08/10/2025
UK702881402706,,08/10/2025,,,,574.00,,,08/10/2025
UK702881402797,,08/10/2025,,,,588.00,,,08/10/2025
UK702881402846,,08/10/2025,,,,540.00,,,08/10/2025
UK702881402853,,08/10/2025,,,,516.00,,,08/10/2025
UK702881402881,,08/10/2025,,,,634.00,,,08/10/2025
UK702881403063,,08/10/2025,,,,644.00,,,08/10/2025
UK702881403112,,08/10/2025,,,,604.00,,,08/10/2025
UK702881403308,,08/10/2025,,,,624.00,,,08/10/2025
UK702881403350,,08/10/2025,,,,556.00,,,08/10/2025
UK702881403357,,08/10/2025,,,,554.00,,,08/10/2025
UK702881403392,,08/10/2025,,,,672.00,,,08/10/2025
UK702881403406,,08/10/2025,,,,636.00,,,08/10/2025
UK702881403490,,08/10/2025,,,,616.00,,,08/10/2025
UK702881403497,,08/10/2025,,,,588.00,,,08/10/2025
UK702881403728,,08/10/2025,,,,546.00,,,08/10/2025
UK702881403756,,08/10/2025,,,,586.00,,,08/10/2025
UK702881403812,,08/10/2025,,,,650.00,,,08/10/2025
UK702881403840,,08/10/2025,,,,700.00,,,08/10/2025
UK702881403882,,08/10/2025,,,,568.00,,,08/10/2025
UK702881403924,,08/10/2025,,,,560.00,,,08/10/2025
UK702881403945,,08/10/2025,,,,606.00,,,08/10/2025
UK702881404176,,08/10/2025,,,,518.00,,,08/10/2025
UK702881404211,,08/10/2025,,,,544.00,,,08/10/2025
UK702881404232,,08/10/2025,,,,640.00,,,08/10/2025
UK702881404239,,08/10/2025,,,,646.00,,,08/10/2025
UK702881404246,,08/10/2025,,,,540.00,,,08/10/2025
UK702881404267,,08/10/2025,,,,560.00,,,08/10/2025
UK702881404323,,08/10/2025,,,,544.00,,,08/10/2025
UK702881404330,,08/10/2025,,,,608.00,,,08/10/2025
UK702881404337,,08/10/2025,,,,618.00,,,08/10/2025
UK702881404358,,08/10/2025,,,,562.00,,,08/10/2025
UK702881404407,,08/10/2025,,,,596.00,,,08/10/2025
UK702881404484,,08/10/2025,,,,530.00,,,08/10/2025
UK702881404505,,08/10/2025,,,,626.00,,,08/10/2025
UK702881404743,,08/10/2025,,,,530.00,,,08/10/2025
UK702881404820,,08/10/2025,,,,560.00,,,08/10/2025
UK702881404827,,08/10/2025,,,,606.00,,,08/10/2025
UK702881404897,,08/10/2025,,,,540.00,,,08/10/2025
UK702881404911,,08/10/2025,,,,528.00,,,08/10/2025
UK702881404988,,08/10/2025,,,,552.00,,,08/10/2025
UK702881405002,,08/10/2025,,,,536.00,,,08/10/2025
UK702881405233,,08/10/2025,,,,494.00,,,08/10/2025
UK702881405247,,08/10/2025,,,,450.00,,,08/10/2025
UK702881405296,,08/10/2025,,,,440.00,,,08/10/2025
UK702881405303,,08/10/2025,,,,462.00,,,08/10/2025
UK702881405310,,08/10/2025,,,,470.00,,,08/10/2025
UK702881405317,,08/10/2025,,,,452.00,,,08/10/2025
UK702881405352,,08/10/2025,,,,510.00,,,08/10/2025
UK702881405373,,08/10/2025,,,,480.00,,,08/10/2025
UK702881405380,,08/10/2025,,,,486.00,,,08/10/2025
UK702881405436,,08/10/2025,,,,466.00,,,08/10/2025
UK702881405471,,08/10/2025,,,,462.00,,,08/10/2025
UK702881405478,,08/10/2025,,,,438.00,,,08/10/2025
UK702881405485,,08/10/2025,,,,530.00,,,08/10/2025
UK702881405492,,08/10/2025,,,,446.00,,,08/10/2025
UK702881501951,,08/10/2025,,,,630.00,,,08/10/2025
UK702881502140,,08/10/2025,,,,628.00,,,08/10/2025
UK702881502798,,08/10/2025,,,,540.00,,,08/10/2025
UK702881502805,,08/10/2025,,,,620.00,,,08/10/2025
UK702881502910,,08/10/2025,,,,504.00,,,08/10/2025
UK702881502959,,08/10/2025,,,,588.00,,,08/10/2025
UK702881502973,,08/10/2025,,,,618.00,,,08/10/2025
UK702881503057,,08/10/2025,,,,638.00,,,08/10/2025
UK702881503099,,08/10/2025,,,,624.00,,,08/10/2025
UK702881503309,,08/10/2025,,,,532.00,,,08/10/2025
UK702881503344,,08/10/2025,,,,560.00,,,08/10/2025
UK702881503372,,08/10/2025,,,,554.00,,,08/10/2025
UK702881503379,,08/10/2025,,,,548.00,,,08/10/2025
UK702881503498,,08/10/2025,,,,590.00,,,08/10/2025
UK702881503715,,08/10/2025,,,,704.00,,,08/10/2025
UK702881503841,,08/10/2025,,,,516.00,,,08/10/2025
UK702881503848,,08/10/2025,,,,598.00,,,08/10/2025
UK702881503904,,08/10/2025,,,,602.00,,,08/10/2025
UK702881503946,,08/10/2025,,,,588.00,,,08/10/2025
UK702881503960,,08/10/2025,,,,670.00,,,08/10/2025
UK702881504023,,08/10/2025,,,,592.00,,,08/10/2025
UK702881504177,,08/10/2025,,,,420.00,,,08/10/2025
UK702881504184,,08/10/2025,,,,500.00,,,08/10/2025
UK702881504191,,08/10/2025,,,,536.00,,,08/10/2025
UK702881504212,,08/10/2025,,,,528.00,,,08/10/2025
UK702881504233,,08/10/2025,,,,546.00,,,08/10/2025
UK702881504373,,08/10/2025,,,,546.00,,,08/10/2025
UK702881504387,,08/10/2025,,,,626.00,,,08/10/2025
UK702881504415,,08/10/2025,,,,580.00,,,08/10/2025
UK702881504436,,08/10/2025,,,,552.00,,,08/10/2025
UK702881504681,,08/10/2025,,,,502.00,,,08/10/2025
UK702881504688,,08/10/2025,,,,526.00,,,08/10/2025
UK702881504695,,08/10/2025,,,,538.00,,,08/10/2025
UK702881504737,,08/10/2025,,,,590.00,,,08/10/2025
UK702881504744,,08/10/2025,,,,490.00,,,08/10/2025
UK702881504758,,08/10/2025,,,,544.00,,,08/10/2025
UK702881504814,,08/10/2025,,,,594.00,,,08/10/2025
UK702881504842,,08/10/2025,,,,640.00,,,08/10/2025
UK702881504912,,08/10/2025,,,,564.00,,,08/10/2025
UK702881504919,,08/10/2025,,,,524.00,,,08/10/2025
UK702881504968,,08/10/2025,,,,540.00,,,08/10/2025
UK702881504982,,08/10/2025,,,,600.00,,,08/10/2025
UK702881505052,,08/10/2025,,,,528.00,,,08/10/2025
UK702881505171,,08/10/2025,,,,470.00,,,08/10/2025
UK702881505241,,08/10/2025,,,,480.00,,,08/10/2025
UK702881505255,,08/10/2025,,,,530.00,,,08/10/2025
UK702881505304,,08/10/2025,,,,470.00,,,08/10/2025
UK702881505318,,08/10/2025,,,,512.00,,,08/10/2025
UK702881505360,,08/10/2025,,,,498.00,,,08/10/2025
UK702881505367,,08/10/2025,,,,442.00,,,08/10/2025
UK702881505437,,08/10/2025,,,,474.00,,,08/10/2025
UK702881505465,,08/10/2025,,,,470.00,,,08/10/2025
UK702881601469,,08/10/2025,,,,582.00,,,08/10/2025
